@Pseudomonas_aeruginosa_PA14|NC_008463|6537649
@Strain	Refseq_Accession	Replicon	Locus_Tag	Feature_Type	Start	Stop	Strand	Gene_Name	Product_Name
Pseudomonas_aeruginosa_PA14	NC_008463	Chromosome	PA14_00010	CDS	483	2027	+	dnaA	chromosomal_replication_initiation_protein
Pseudomonas_aeruginosa_PA14	NC_008463	Chromosome	PA14_00020	CDS	2056	3159	+	dnaN	DNA_polymerase_III_subunit_beta
Pseudomonas_aeruginosa_PA14	NC_008463	Chromosome	PA14_00030	CDS	3169	4278	+	recF	recombination_protein_F
Pseudomonas_aeruginosa_PA14	NC_008463	Chromosome	PA14_00050	CDS	4275	6695	+	gyrB	DNA_gyrase_subunit_B
Pseudomonas_aeruginosa_PA14	NC_008463	Chromosome	PA14_00060	CDS	7018	7791	-		putative_acyltransferase
Pseudomonas_aeruginosa_PA14	NC_008463	Chromosome	PA14_00070	CDS	7803	8339	-		D,D-heptose_1,7-bisphosphate_phosphatase
Pseudomonas_aeruginosa_PA14	NC_008463	Chromosome	PA14_00080	CDS	8671	10377	+		hypothetical_protein
Pseudomonas_aeruginosa_PA14	NC_008463	Chromosome	PA14_00090	CDS	10434	12488	-	glyS	glycyl-tRNA_synthetase_subunit_beta
Pseudomonas_aeruginosa_PA14	NC_008463	Chromosome	PA14_00100	CDS	12488	13435	-	glyQ	glycyl-tRNA_synthetase_subunit_alpha
Pseudomonas_aeruginosa_PA14	NC_008463	Chromosome	PA14_00110	CDS	13540	14091	+	tag	DNA-3-methyladenine_glycosidase_I
Pseudomonas_aeruginosa_PA14	NC_008463	Chromosome	PA14_00120	CDS	14236	15123	+		lipid_A_biosynthesis_lauroyl_acyltransferase
Pseudomonas_aeruginosa_PA14	NC_008463	Chromosome	PA14_00130	CDS	15208	15474	+		hypothetical_protein
Pseudomonas_aeruginosa_PA14	NC_008463	Chromosome	PA14_00140	CDS	15621	16274	+		hypothetical_protein
Pseudomonas_aeruginosa_PA14	NC_008463	Chromosome	PA14_00150	CDS	16336	16608	-		hypothetical_protein
Pseudomonas_aeruginosa_PA14	NC_008463	Chromosome	PA14_00160	CDS	16923	17240	-		TPR_repeat-containing_protein
Pseudomonas_aeruginosa_PA14	NC_008463	Chromosome	PA14_00170	CDS	17389	18762	-	trkA	potassium_transporter_peripheral_membrane_component
